Nasdaq Traded,Symbol,Security Name,Listing Exchange,Market Category,ETF,Round Lot Size,Test Issue,Financial Status,CQS Symbol,NASDAQ Symbol,NextShares,Industry,Source
Y,AAOI,"Applied Optoelectronics, Inc. - Common Stock",Q,G,N,100.0,N,N,,AAOI,N,Technology,Yahoo Finance
Y,AAPL,Apple Inc. - Common Stock,Q,Q,N,100.0,N,N,,AAPL,N,Technology,Yahoo Finance
Y,ACIW,"ACI Worldwide, Inc. - Common Stock",Q,Q,N,100.0,N,N,,ACIW,N,Technology,Yahoo Finance
Y,ACLS,"Axcelis Technologies, Inc. - Common Stock",Q,Q,N,100.0,N,N,,ACLS,N,Technology,Yahoo Finance
Y,ACMR,"ACM Research, Inc. - Class A Common Stock",Q,G,N,100.0,N,N,,ACMR,N,Technology,Yahoo Finance
Y,ACN,Accenture plc Class A Ordinary Shares (Ireland),N, ,N,100.0,N,,ACN,ACN,N,Technology,Yahoo Finance
Y,ADBE,Adobe Inc. - Common Stock,Q,Q,N,100.0,N,N,,ADBE,N,Technology,Yahoo Finance
Y,ADI,"Analog Devices, Inc. - Common Stock",Q,Q,N,100.0,N,N,,ADI,N,Technology,Yahoo Finance
Y,ADP,"Automatic Data Processing, Inc. - Common Stock",Q,Q,N,100.0,N,N,,ADP,N,Technology,Yahoo Finance
Y,ADSK,"Autodesk, Inc. - Common Stock",Q,Q,N,100.0,N,N,,ADSK,N,Technology,Yahoo Finance
Y,ADTN,"ADTRAN, Inc. - Common Stock",Q,Q,N,100.0,N,N,,ADTN,N,Technology,Yahoo Finance
Y,AEHR,Aehr Test Systems - Common Stock,Q,S,N,100.0,N,N,,AEHR,N,Technology,Yahoo Finance
Y,AEYE,"AudioEye, Inc. - Common Stock",Q,S,N,100.0,N,N,,AEYE,N,Technology,Yahoo Finance
Y,AGMH,AGM Group Holdings Inc. - Class A Ordinary Shares,Q,S,N,100.0,N,D,,AGMH,N,Technology,Yahoo Finance
Y,AGYS,"Agilysys, Inc. - Common Stock",Q,Q,N,100.0,N,N,,AGYS,N,Technology,Yahoo Finance
Y,AI,Arlington Asset Investment Corp Class A (new),N, ,N,100.0,N,,AI,AI,N,Technology,Yahoo Finance
Y,AIRG,"Airgain, Inc. - Common Stock",Q,S,N,100.0,N,N,,AIRG,N,Technology,Yahoo Finance
Y,AKAM,"Akamai Technologies, Inc. - Common Stock",Q,Q,N,100.0,N,N,,AKAM,N,Technology,Yahoo Finance
Y,ALLT,Allot Ltd. - Ordinary Shares,Q,Q,N,100.0,N,N,,ALLT,N,Technology,Yahoo Finance
Y,ALOT,"AstroNova, Inc. - Common Stock",Q,G,N,100.0,N,N,,ALOT,N,Technology,Yahoo Finance
Y,ALRM,"Alarm.com Holdings, Inc. - Common Stock",Q,Q,N,100.0,N,N,,ALRM,N,Technology,Yahoo Finance
Y,AMAT,"Applied Materials, Inc. - Common Stock",Q,Q,N,100.0,N,N,,AMAT,N,Technology,Yahoo Finance
Y,AMBA,"Ambarella, Inc. - Ordinary Shares",Q,Q,N,100.0,N,N,,AMBA,N,Technology,Yahoo Finance
Y,AMD,"Advanced Micro Devices, Inc. - Common Stock",Q,Q,N,100.0,N,N,,AMD,N,Technology,Yahoo Finance
Y,AMKR,"Amkor Technology, Inc. - Common Stock",Q,Q,N,100.0,N,N,,AMKR,N,Technology,Yahoo Finance
Y,ANET,"Arista Networks, Inc. Common Stock",N, ,N,100.0,N,,ANET,ANET,N,Technology,Yahoo Finance
Y,AOSL,Alpha and Omega Semiconductor Limited - Common Shares,Q,Q,N,100.0,N,N,,AOSL,N,Technology,Yahoo Finance
Y,APH,Amphenol Corporation Common Stock,N, ,N,100.0,N,,APH,APH,N,Technology,Yahoo Finance
Y,APPF,"AppFolio, Inc. - Class A Common Stock",Q,G,N,100.0,N,N,,APPF,N,Technology,Yahoo Finance
Y,APPN,Appian Corporation - Class A Common Stock,Q,G,N,100.0,N,N,,APPN,N,Technology,Yahoo Finance
Y,APPS,"Digital Turbine, Inc. - Common Stock",Q,S,N,100.0,N,N,,APPS,N,Technology,Yahoo Finance
Y,ARW,"Arrow Electronics, Inc. Common Stock",N, ,N,100.0,N,,ARW,ARW,N,Technology,Yahoo Finance
Y,ASGN,ASGN Incorporated Common Stock,N, ,N,100.0,N,,ASGN,ASGN,N,Technology,Yahoo Finance
Y,ASML,ASML Holding N.V. - New York Registry Shares,Q,Q,N,100.0,N,N,,ASML,N,Technology,Yahoo Finance
Y,ASTC,Astrotech Corporation - Common Stock,Q,S,N,100.0,N,D,,ASTC,N,Technology,Yahoo Finance
Y,ASUR,Asure Software Inc - Common Stock,Q,S,N,100.0,N,N,,ASUR,N,Technology,Yahoo Finance
Y,ASX,"ASE Technology Holding Co., Ltd. American Depositary Shares (each representing Two Common Shares) ",N, ,N,100.0,N,,ASX,ASX,N,Technology,Yahoo Finance
Y,ASYS,"Amtech Systems, Inc. - Common Stock",Q,Q,N,100.0,N,N,,ASYS,N,Technology,Yahoo Finance
Y,ATEN,"A10 Networks, Inc. Common Stock",N, ,N,100.0,N,,ATEN,ATEN,N,Technology,Yahoo Finance
Y,ATOM,Atomera Incorporated - Common Stock,Q,S,N,100.0,N,N,,ATOM,N,Technology,Yahoo Finance
Y,AUDC,AudioCodes Ltd. - Ordinary Shares,Q,Q,N,100.0,N,N,,AUDC,N,Technology,Yahoo Finance
Y,AVGO,Broadcom Inc. - Common Stock,Q,Q,N,100.0,N,N,,AVGO,N,Technology,Yahoo Finance
Y,AVNW,"Aviat Networks, Inc. - Common Stock",Q,Q,N,100.0,N,N,,AVNW,N,Technology,Yahoo Finance
Y,AVT,"Avnet, Inc. - Common Stock",Q,Q,N,100.0,N,N,,AVT,N,Technology,Yahoo Finance
Y,AWRE,"Aware, Inc. - Common Stock",Q,G,N,100.0,N,N,,AWRE,N,Technology,Yahoo Finance
Y,AXTI,AXT Inc - Common Stock,Q,Q,N,100.0,N,N,,AXTI,N,Technology,Yahoo Finance
Y,BAND,Bandwidth Inc. - Class A Common Stock,Q,Q,N,100.0,N,N,,BAND,N,Technology,Yahoo Finance
Y,BB,BlackBerry Limited Common Stock,N, ,N,100.0,N,,BB,BB,N,Technology,Yahoo Finance
Y,BDC,Belden Inc Common Stock,N, ,N,100.0,N,,BDC,BDC,N,Technology,Yahoo Finance
Y,BELFA,Bel Fuse Inc. - Class A Common Stock,Q,Q,N,100.0,N,N,,BELFA,N,Technology,Yahoo Finance
Y,BELFB,Bel Fuse Inc. - Class B Common Stock,Q,Q,N,100.0,N,N,,BELFB,N,Technology,Yahoo Finance
Y,BHE,"Benchmark Electronics, Inc. Common Stock",N, ,N,100.0,N,,BHE,BHE,N,Technology,Yahoo Finance
Y,BILL,"Bill.com Holdings, Inc. Common Stock",N, ,N,100.0,N,,BILL,BILL,N,Technology,Yahoo Finance
Y,BKTI,BK Technologies Corporation Common Stock,A, ,N,100.0,N,,BKTI,BKTI,N,Technology,Yahoo Finance
Y,BL,"BlackLine, Inc. - Common Stock",Q,Q,N,100.0,N,N,,BL,N,Technology,Yahoo Finance
Y,BLIN,"Bridgeline Digital, Inc. - Common Stock",Q,S,N,100.0,N,N,,BLIN,N,Technology,Yahoo Finance
Y,BLKB,"Blackbaud, Inc. - Common Stock",Q,Q,N,100.0,N,N,,BLKB,N,Technology,Yahoo Finance
Y,BMI,"Badger Meter, Inc. Common Stock",N, ,N,100.0,N,,BMI,BMI,N,Technology,Yahoo Finance
Y,BOSC,B.O.S. Better Online Solutions - Ordinary Shares,Q,S,N,100.0,N,N,,BOSC,N,Technology,Yahoo Finance
Y,BOX,"Box, Inc. Class A Common Stock",N, ,N,100.0,N,,BOX,BOX,N,Technology,Yahoo Finance
Y,BOXL,Boxlight Corporation - Class A Common Stock,Q,S,N,100.0,N,D,,BOXL,N,Technology,Yahoo Finance
Y,BR,"Broadridge Financial Solutions, Inc.Common Stock",N, ,N,100.0,N,,BR,BR,N,Technology,Yahoo Finance
Y,CACI,"CACI International, Inc. Class A Common Stock",N, ,N,100.0,N,,CACI,CACI,N,Technology,Yahoo Finance
Y,CALX,"Calix, Inc Common Stock",N, ,N,100.0,N,,CALX,CALX,N,Technology,Yahoo Finance
Y,CAMT,Camtek Ltd. - Ordinary Shares,Q,G,N,100.0,N,N,,CAMT,N,Technology,Yahoo Finance
Y,CAN,Canaan Inc. - American Depositary Shares,Q,G,N,100.0,N,N,,CAN,N,Technology,Yahoo Finance
Y,CCC,Clarivate Analytics Plc Ordinary Shares,N, ,N,100.0,N,,CCC,CCC,N,Technology,Yahoo Finance
Y,CDNS,"Cadence Design Systems, Inc. - Common Stock",Q,Q,N,100.0,N,N,,CDNS,N,Technology,Yahoo Finance
Y,CDW,CDW Corporation - Common Stock,Q,Q,N,100.0,N,N,,CDW,N,Technology,Yahoo Finance
Y,CETX,Cemtrex Inc. - Common Stock,Q,S,N,100.0,N,N,,CETX,N,Technology,Yahoo Finance
Y,CETXP,Cemtrex Inc. - Series 1 Preferred Stock,Q,S,N,100.0,N,N,,CETXP,N,Technology,Yahoo Finance
Y,CEVA,"CEVA, Inc. - Common Stock",Q,Q,N,100.0,N,N,,CEVA,N,Technology,Yahoo Finance
Y,CGNX,Cognex Corporation - Common Stock,Q,Q,N,100.0,N,N,,CGNX,N,Technology,Yahoo Finance
Y,CHKP,Check Point Software Technologies Ltd. - Ordinary Shares,Q,Q,N,100.0,N,N,,CHKP,N,Technology,Yahoo Finance
Y,CIEN,Ciena Corporation Common Stock,N, ,N,100.0,N,,CIEN,CIEN,N,Technology,Yahoo Finance
Y,CLFD,"Clearfield, Inc. - Common Stock",Q,G,N,100.0,N,N,,CLFD,N,Technology,Yahoo Finance
Y,CLPS,CLPS Incorporation - Common Stock,Q,G,N,100.0,N,N,,CLPS,N,Technology,Yahoo Finance
Y,CLRO,"ClearOne, Inc. - Common Stock",Q,S,N,100.0,N,N,,CLRO,N,Technology,Yahoo Finance
Y,CLS,"Celestica, Inc. Common Stock",N, ,N,100.0,N,,CLS,CLS,N,Technology,Yahoo Finance
Y,CMBM,Cambium Networks Corporation - Ordinary Shares,Q,G,N,100.0,N,N,,CMBM,N,Technology,Yahoo Finance
Y,CMTL,Comtech Telecommunications Corp. - Common Stock,Q,Q,N,100.0,N,N,,CMTL,N,Technology,Yahoo Finance
Y,CNDT,Conduent Incorporated - Common Stock,Q,Q,N,100.0,N,N,,CNDT,N,Technology,Yahoo Finance
Y,CNXN,"PC Connection, Inc. - Common Stock",Q,Q,N,100.0,N,N,,CNXN,N,Technology,Yahoo Finance
Y,COHR,"Coherent, Inc. - Common Stock",Q,Q,N,100.0,N,N,,COHR,N,Technology,Yahoo Finance
Y,COHU,"Cohu, Inc. - Common Stock",Q,Q,N,100.0,N,N,,COHU,N,Technology,Yahoo Finance
Y,COMM,"CommScope Holding Company, Inc. - Common Stock",Q,Q,N,100.0,N,N,,COMM,N,Technology,Yahoo Finance
Y,CPSH,CPS Technologies Corp. - Common Stock,Q,S,N,100.0,N,N,,CPSH,N,Technology,Yahoo Finance
Y,CREX,"Creative Realities, Inc. - Common Stock",Q,S,N,100.0,N,N,,CREX,N,Technology,Yahoo Finance
Y,CRM,Salesforce.com Inc Common Stock,N, ,N,100.0,N,,CRM,CRM,N,Technology,Yahoo Finance
Y,CRNC,Cerence Inc. - Common Stock,Q,Q,N,100.0,N,N,,CRNC,N,Technology,Yahoo Finance
Y,CRNT,Ceragon Networks Ltd. - Ordinary Shares,Q,Q,N,100.0,N,N,,CRNT,N,Technology,Yahoo Finance
Y,CRUS,"Cirrus Logic, Inc. - Common Stock",Q,Q,N,100.0,N,N,,CRUS,N,Technology,Yahoo Finance
Y,CRWD,"CrowdStrike Holdings, Inc. - Class A Common Stock",Q,Q,N,100.0,N,N,,CRWD,N,Technology,Yahoo Finance
Y,CSCO,"Cisco Systems, Inc. - Common Stock",Q,Q,N,100.0,N,N,,CSCO,N,Technology,Yahoo Finance
Y,CSGS,"CSG Systems International, Inc. - Common Stock",Q,Q,N,100.0,N,N,,CSGS,N,Technology,Yahoo Finance
Y,CSIQ,Canadian Solar Inc. - common shares,Q,Q,N,100.0,N,N,,CSIQ,N,Technology,Yahoo Finance
Y,CSPI,CSP Inc. - Common Stock,Q,G,N,100.0,N,N,,CSPI,N,Technology,Yahoo Finance
Y,CTS,CTS Corporation Common Stock,N, ,N,100.0,N,,CTS,CTS,N,Technology,Yahoo Finance
Y,CTSH,Cognizant Technology Solutions Corporation - Class A Common Stock,Q,Q,N,100.0,N,N,,CTSH,N,Technology,Yahoo Finance
Y,CVLT,"Commvault Systems, Inc. - Common Stock",Q,Q,N,100.0,N,N,,CVLT,N,Technology,Yahoo Finance
Y,CYBR,CyberArk Software Ltd. - Ordinary Shares,Q,Q,N,100.0,N,N,,CYBR,N,Technology,Yahoo Finance
Y,DAIO,Data I/O Corporation - Common Stock,Q,S,N,100.0,N,N,,DAIO,N,Technology,Yahoo Finance
Y,DAKT,"Daktronics, Inc. - Common Stock",Q,Q,N,100.0,N,N,,DAKT,N,Technology,Yahoo Finance
Y,DAVA,Endava plc American Depositary Shares (each representing one Class A Ordinary Share),N, ,N,100.0,N,,DAVA,DAVA,N,Technology,Yahoo Finance
Y,DBD,Diebold Nixdorf Incorporated Common Stock,N, ,N,100.0,N,,DBD,DBD,N,Technology,Yahoo Finance
Y,DBX,"Dropbox, Inc. - Class A Common Stock",Q,Q,N,100.0,N,N,,DBX,N,Technology,Yahoo Finance
Y,DDD,3D Systems Corporation Common Stock,N, ,N,100.0,N,,DDD,DDD,N,Technology,Yahoo Finance
Y,DDOG,"Datadog, Inc. - Class A Common Stock",Q,Q,N,100.0,N,N,,DDOG,N,Technology,Yahoo Finance
Y,DELL,Dell Technologies Inc. Class C Common Stock ,N, ,N,100.0,N,,DELL,DELL,N,Technology,Yahoo Finance
Y,DFIN,"Donnelley Financial Solutions, Inc. Common Stock ",N, ,N,100.0,N,,DFIN,DFIN,N,Technology,Yahoo Finance
Y,DGII,Digi International Inc. - Common Stock,Q,Q,N,100.0,N,N,,DGII,N,Technology,Yahoo Finance
Y,DHX,"DHI Group, Inc. Common Stock",N, ,N,100.0,N,,DHX,DHX,N,Technology,Yahoo Finance
Y,DIOD,Diodes Incorporated - Common Stock,Q,Q,N,100.0,N,N,,DIOD,N,Technology,Yahoo Finance
Y,DJCO,Daily Journal Corp. (S.C.) - Common Stock,Q,S,N,100.0,N,N,,DJCO,N,Technology,Yahoo Finance
Y,DMRC,Digimarc Corporation - Common Stock,Q,Q,N,100.0,N,N,,DMRC,N,Technology,Yahoo Finance
Y,DOCU,"DocuSign, Inc. - Common Stock",Q,Q,N,100.0,N,N,,DOCU,N,Technology,Yahoo Finance
Y,DOMO,"Domo, Inc. - Class B Common Stock",Q,G,N,100.0,N,N,,DOMO,N,Technology,Yahoo Finance
Y,DOX,Amdocs Limited - Ordinary Shares,Q,Q,N,100.0,N,N,,DOX,N,Technology,Yahoo Finance
Y,DQ,"DAQO New Energy Corp. American Depositary Shares, each representing five ordinary shares",N, ,N,100.0,N,,DQ,DQ,N,Technology,Yahoo Finance
Y,DSGX,The Descartes Systems Group Inc. - Common Stock,Q,Q,N,100.0,N,N,,DSGX,N,Technology,Yahoo Finance
Y,DSWL,"Deswell Industries, Inc. - Common Shares",Q,G,N,100.0,N,N,,DSWL,N,Technology,Yahoo Finance
Y,DT,"Dynatrace, Inc. Common Stock",N, ,N,100.0,N,,DT,DT,N,Technology,Yahoo Finance
Y,DTSS,Datasea Inc. - Common Stock,Q,S,N,100.0,N,N,,DTSS,N,Technology,Yahoo Finance
Y,DUOT,"Duos Technologies Group, Inc. - Common Stock",Q,S,N,100.0,N,N,,DUOT,N,Technology,Yahoo Finance
Y,DXC,DXC Technology Company Common Stock ,N, ,N,100.0,N,,DXC,DXC,N,Technology,Yahoo Finance
Y,DZSI,"DASAN Zhone Solutions, Inc. - Common Stock",Q,S,N,100.0,N,D,,DZSI,N,Technology,Yahoo Finance
Y,EEFT,"Euronet Worldwide, Inc. - Common Stock",Q,Q,N,100.0,N,N,,EEFT,N,Technology,Yahoo Finance
Y,EGAN,eGain Corporation - Common Stock,Q,S,N,100.0,N,N,,EGAN,N,Technology,Yahoo Finance
Y,EGHT,8x8 Inc Common Stock,N, ,N,100.0,N,,EGHT,EGHT,N,Technology,Yahoo Finance
Y,ELSE,"Electro-Sensors, Inc. - Common Stock",Q,S,N,100.0,N,N,,ELSE,N,Technology,Yahoo Finance
Y,ELTK,Eltek Ltd. - Ordinary Shares,Q,S,N,100.0,N,N,,ELTK,N,Technology,Yahoo Finance
Y,ENPH,"Enphase Energy, Inc. - Common Stock",Q,G,N,100.0,N,N,,ENPH,N,Technology,Yahoo Finance
Y,ENTG,"Entegris, Inc. - Common Stock",Q,Q,N,100.0,N,N,,ENTG,N,Technology,Yahoo Finance
Y,EPAM,"EPAM Systems, Inc. Common Stock",N, ,N,100.0,N,,EPAM,EPAM,N,Technology,Yahoo Finance
Y,ERIC,Ericsson - American Depositary Shares each representing 1 underlying Class B share,Q,Q,N,100.0,N,N,,ERIC,N,Technology,Yahoo Finance
Y,ESE,ESCO Technologies Inc. Common Stock,N, ,N,100.0,N,,ESE,ESE,N,Technology,Yahoo Finance
Y,ESTC,Elastic N.V. Ordinary Shares,N, ,N,100.0,N,,ESTC,ESTC,N,Technology,Yahoo Finance
Y,EVOL,"Evolving Systems, Inc. - Common Stock",Q,S,N,100.0,N,D,,EVOL,N,Technology,Yahoo Finance
Y,EVTC,"Evertec, Inc. Common Stock",N, ,N,100.0,N,,EVTC,EVTC,N,Technology,Yahoo Finance
Y,EXLS,"ExlService Holdings, Inc. - Common Stock",Q,Q,N,100.0,N,N,,EXLS,N,Technology,Yahoo Finance
Y,EXTR,"Extreme Networks, Inc. - Common Stock",Q,Q,N,100.0,N,N,,EXTR,N,Technology,Yahoo Finance
Y,FEIM,"Frequency Electronics, Inc. - Common Stock",Q,G,N,100.0,N,N,,FEIM,N,Technology,Yahoo Finance
Y,FFIV,"F5 Networks, Inc. - Common Stock",Q,Q,N,100.0,N,N,,FFIV,N,Technology,Yahoo Finance
Y,FI,Frank's International N.V. Common Stock,N, ,N,100.0,N,,FI,FI,N,Technology,Yahoo Finance
Y,FICO,Fair Isaac Corproation Common Stock,N, ,N,100.0,N,,FICO,FICO,N,Technology,Yahoo Finance
